zip,county_name,2020_mean_fmr,2019_mean_fmr,2018_mean_fmr,2017_mean_fmr,2016_mean_fmr,2015_mean_fmr,2014_mean_fmr,2013_mean_fmr,2012_mean_fmr,2011_mean_fmr
32669,Alachua County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32680,Dixie County FL,791.6,758.2,735,692.4,687,717,710.4,698.2,626.8,639.8
32686,Marion County FL,959.8,929,874.8,884.2,819.4,805.2,809.2,827.8,779.2,837
32693,Gilchrist County FL,1013.8,1006,953.4,947,966.2,993.6,977.8,1073.8,918.8,930
32696,Levy County FL,792.8,752.4,748.8,737.8,737,761.8,738.6,726,667.8,641.4
32701,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32702,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32703,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32707,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32708,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32709,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32712,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32713,Volusia County FL,1189,1156.2,1017.4,1016.6,949,950.6,927.2,940,886.2,959.6
32714,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32720,Volusia County FL,1189,1156.2,1017.4,1016.6,949,950.6,927.2,940,886.2,959.6
32724,Volusia County FL,1189,1156.2,1017.4,1016.6,949,950.6,927.2,940,886.2,959.6
32725,Volusia County FL,1189,1156.2,1017.4,1016.6,949,950.6,927.2,940,886.2,959.6
32726,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32730,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32732,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32735,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32736,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32738,Volusia County FL,1189,1156.2,1017.4,1016.6,949,950.6,927.2,940,886.2,959.6
32744,Volusia County FL,1189,1156.2,1017.4,1016.6,949,950.6,927.2,940,886.2,959.6
32746,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32750,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32751,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32754,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32757,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32763,Volusia County FL,1189,1156.2,1017.4,1016.6,949,950.6,927.2,940,886.2,959.6
